lat_center,lon_center,x,y,img_id,vegetation_pct,water_pct
-3.90526,-38.55502,31,1,31_01,0.6257,0.0
-3.90526,-38.55185,32,1,32_01,0.8603,0.0
-3.90526,-38.54868,33,1,33_01,0.9303,0.0
-3.90526,-38.5455,34,1,34_01,0.9163,0.0
-3.90526,-38.54233,35,1,35_01,0.8282,0.0
-3.90526,-38.53915,36,1,36_01,0.5896,0.0
-3.90526,-38.53598,37,1,37_01,0.5693,0.0
-3.90526,-38.5328,38,1,38_01,0.3729,0.0
-3.90526,-38.52963,39,1,39_01,0.3027,0.0
-3.90526,-38.52645,40,1,40_01,0.3805,0.0
-3.90526,-38.52328,41,1,41_01,0.3533,0.0
-3.90526,-38.5201,42,1,42_01,0.2089,0.0
-3.90526,-38.51693,43,1,43_01,0.1004,0.0
-3.90526,-38.51375,44,1,44_01,0.0884,0.0
-3.90526,-38.51058,45,1,45_01,0.1011,0.0
-3.90526,-38.50741,46,1,46_01,0.2106,0.0
-3.90526,-38.50423,47,1,47_01,0.3958,0.0
-3.90526,-38.50106,48,1,48_01,0.0383,0.1643
-3.90526,-38.49788,49,1,49_01,0.5611,0.0846
-3.90526,-38.49471,50,1,50_01,0.0597,0.4254
-3.90526,-38.49153,51,1,51_01,0.1966,0.1389
-3.90526,-38.48836,52,1,52_01,0.2446,0.0
-3.90526,-38.48518,53,1,53_01,0.4827,0.0146
-3.90526,-38.48201,54,1,54_01,0.3534,0.0837
-3.90526,-38.47883,55,1,55_01,0.0148,0.3923
-3.90526,-38.47566,56,1,56_01,0.0,0.8949
-3.90526,-38.47249,57,1,57_01,0.0,1.0
-3.90526,-38.46931,58,1,58_01,0.0,0.9944
-3.90526,-38.46614,59,1,59_01,0.0355,0.5763
-3.90526,-38.46296,60,1,60_01,0.381,0.2508
-3.90526,-38.45979,61,1,61_01,0.3808,0.0
-3.90526,-38.45661,62,1,62_01,0.2467,0.0
-3.90526,-38.45344,63,1,63_01,0.2316,0.0
-3.90209,-38.65344,0,2,00_02,0.3034,0.2304
-3.90209,-38.65026,1,2,01_02,0.6457,0.0268
-3.90209,-38.64709,2,2,02_02,0.835,0.0
-3.90209,-38.64391,3,2,03_02,0.8887,0.0
-3.90209,-38.64074,4,2,04_02,0.8795,0.0
-3.90209,-38.63756,5,2,05_02,0.9506,0.0
-3.90209,-38.63439,6,2,06_02,0.7295,0.0
-3.90209,-38.63122,7,2,07_02,0.3971,0.0
-3.90209,-38.62804,8,2,08_02,0.5413,0.0
-3.90209,-38.62487,9,2,09_02,0.7854,0.0
-3.90209,-38.62169,10,2,10_02,0.4723,0.0
-3.90209,-38.61852,11,2,11_02,0.2738,0.0
-3.90209,-38.61534,12,2,12_02,0.1033,0.0
-3.90209,-38.61217,13,2,13_02,0.1253,0.0
-3.90209,-38.60899,14,2,14_02,0.3089,0.0
-3.90209,-38.60582,15,2,15_02,0.8041,0.0
-3.90209,-38.60264,16,2,16_02,0.6507,0.0
-3.90209,-38.59947,17,2,17_02,0.3,0.0
-3.90209,-38.59629,18,2,18_02,0.4999,0.0
-3.90209,-38.59312,19,2,19_02,0.8156,0.0027
-3.90209,-38.58995,20,2,20_02,0.8514,0.0
-3.90209,-38.58677,21,2,21_02,0.659,0.0
-3.90209,-38.5836,22,2,22_02,0.2576,0.0
-3.90209,-38.58042,23,2,23_02,0.4092,0.0
-3.90209,-38.57725,24,2,24_02,0.381,0.0
-3.90209,-38.57407,25,2,25_02,0.5225,0.0
-3.90209,-38.5709,26,2,26_02,0.8417,0.0
-3.90209,-38.56772,27,2,27_02,0.8524,0.0
-3.90209,-38.56455,28,2,28_02,0.8538,0.0
-3.90209,-38.56137,29,2,29_02,0.7308,0.0
-3.90209,-38.5582,30,2,30_02,0.612,0.0
-3.90209,-38.55502,31,2,31_02,0.8498,0.0
-3.90209,-38.55185,32,2,32_02,0.9417,0.0
-3.90209,-38.54868,33,2,33_02,0.9422,0.0
-3.90209,-38.5455,34,2,34_02,0.8339,0.0
-3.90209,-38.54233,35,2,35_02,0.5631,0.0
-3.90209,-38.53915,36,2,36_02,0.5282,0.0
-3.90209,-38.53598,37,2,37_02,0.71,0.0
-3.90209,-38.5328,38,2,38_02,0.6067,0.0
