lat_center,lon_center,x,y,img_id,vegetation_pct,water_pct
-3.90688,-38.65188,0,0,00_00,0.3116,0.0019
-3.90688,-38.64542,1,0,01_00,0.7502,0.0
-3.90688,-38.63897,2,0,02_00,0.8573,0.0
-3.90688,-38.63252,3,0,03_00,0.5921,0.0
-3.90688,-38.62607,4,0,04_00,0.5764,0.0
-3.90688,-38.61962,5,0,05_00,0.3262,0.0
-3.90688,-38.61317,6,0,06_00,0.1692,0.0
-3.90688,-38.60671,7,0,07_00,0.3164,0.0
-3.90688,-38.60026,8,0,08_00,0.2291,0.0089
-3.90688,-38.59381,9,0,09_00,0.2165,0.1737
-3.90688,-38.58736,10,0,10_00,0.6709,0.098
-3.90688,-38.58091,11,0,11_00,0.6634,0.0
-3.90688,-38.57446,12,0,12_00,0.5776,0.0223
-3.90688,-38.568,13,0,13_00,0.5409,0.0
-3.90688,-38.56155,14,0,14_00,0.3499,0.0
-3.90688,-38.5551,15,0,15_00,0.4919,0.0
-3.90688,-38.54865,16,0,16_00,0.7256,0.0
-3.90688,-38.5422,17,0,17_00,0.1133,0.204
-3.90688,-38.53575,18,0,18_00,0.2132,0.0
-3.90688,-38.52929,19,0,19_00,0.1474,0.0
-3.90688,-38.52284,20,0,20_00,0.0236,0.0
-3.90688,-38.51639,21,0,21_00,0.0196,0.0
-3.90688,-38.50994,22,0,22_00,0.0598,0.0
-3.90688,-38.50349,23,0,23_00,0.3703,0.001
-3.90688,-38.49704,24,0,24_00,0.0522,0.5794
-3.90688,-38.49058,25,0,25_00,0.4097,0.0295
-3.90688,-38.48413,26,0,26_00,0.3744,0.1623
-3.90688,-38.47768,27,0,27_00,0.0251,0.5503
-3.90688,-38.47123,28,0,28_00,0.0,0.9893
-3.90688,-38.46478,29,0,29_00,0.0434,0.7023
-3.90688,-38.45833,30,0,30_00,0.3565,0.0
-3.90688,-38.45188,31,0,31_00,0.0204,0.0
-3.90042,-38.65188,0,1,00_01,0.4297,0.0
-3.90042,-38.64542,1,1,01_01,0.7697,0.0
-3.90042,-38.63897,2,1,02_01,0.8675,0.0
-3.90042,-38.63252,3,1,03_01,0.6542,0.0
-3.90042,-38.62607,4,1,04_01,0.555,0.0
-3.90042,-38.61962,5,1,05_01,0.2124,0.0
-3.90042,-38.61317,6,1,06_01,0.0468,0.0
-3.90042,-38.60671,7,1,07_01,0.3804,0.0
-3.90042,-38.60026,8,1,08_01,0.4737,0.0
-3.90042,-38.59381,9,1,09_01,0.6149,0.0
-3.90042,-38.58736,10,1,10_01,0.6074,0.0
-3.90042,-38.58091,11,1,11_01,0.4004,0.0
-3.90042,-38.57446,12,1,12_01,0.477,0.0
-3.90042,-38.568,13,1,13_01,0.5939,0.0
-3.90042,-38.56155,14,1,14_01,0.3358,0.008
-3.90042,-38.5551,15,1,15_01,0.649,0.0
-3.90042,-38.54865,16,1,16_01,0.7926,0.0
-3.90042,-38.5422,17,1,17_01,0.4265,0.0
-3.90042,-38.53575,18,1,18_01,0.4246,0.0399
-3.90042,-38.52929,19,1,19_01,0.3374,0.0006
-3.90042,-38.52284,20,1,20_01,0.0198,0.0
-3.90042,-38.51639,21,1,21_01,0.0187,0.0
-3.90042,-38.50994,22,1,22_01,0.0968,0.0
-3.90042,-38.50349,23,1,23_01,0.3301,0.0
-3.90042,-38.49704,24,1,24_01,0.1848,0.0
-3.90042,-38.49058,25,1,25_01,0.0632,0.1221
-3.90042,-38.48413,26,1,26_01,0.1524,0.079
-3.90042,-38.47768,27,1,27_01,0.1481,0.3055
-3.90042,-38.47123,28,1,28_01,0.0,0.7123
-3.90042,-38.46478,29,1,29_01,0.2024,0.4407
-3.90042,-38.45833,30,1,30_01,0.1748,0.0
